scientific_name,usage_key,accepted_name,rank,match_type,common_name,riesgo,parte_afectada,endemica,estatus,bloque,n_imagenes_actuales,fuente_toxicidad,url_fuente,descripcion,notas,excluida,motivo_exclusion,en_v1,motivo_v1,clase_v1
Fraxinus uhdei,3172371,Fraxinus uhdei,SPECIES,EXACT,Fresno,segura,,no,,1,15,,,,"especies.txt tiene el nombre mal escrito como 'Fraxinus udhei' (typo, carpeta vacía ya eliminada); la ortografía correcta 'uhdei' aparece en script_data_rcimg.py y coincide con la carpeta en disco.",no,,si,,Fraxinus uhdei
Magnolia pugana,3153769,Magnolia pugana,SPECIES,EXACT,Magnolia de Zapopan,segura,,si,,1,15,,,,especies.txt la marca explícitamente como 'Segura/Endémica'.,no,,no,"Solo 9 ocurrencias HUMAN_OBSERVATION con StillImage (umbral 60% de meta 80 = 48); 8 de las 17 con foto son PRESERVED_SPECIMEN (herbario, no usable). Ruta: iNaturalist o foto propia.",Magnolia pugana
Salix humboldtiana,5372914,Salix humboldtiana,SPECIES,EXACT,Sauce llorón nativo,segura,,no,,1,35,,,,,no,,si,,Salix humboldtiana
Taxodium mucronatum,2684192,Taxodium mucronatum,SPECIES,EXACT,Ahuehuete,segura,,no,,1,50,,,,,no,,si,,Taxodium mucronatum
Ostrya virginiana,5332289,Ostrya virginiana,SPECIES,EXACT,Guayabillo,segura,,no,,1,5,,,,"Solo 5 imágenes: según CLAUDE.md es por el filtro stateProvince=Jalisco (la especie es común en Norteamérica), no escasez real.",no,,si,,Ostrya virginiana
Ilex toluccana,5534619,Ilex discolor var. tolucana,VARIETY,FUZZY,Acebo,toxica,frutos,no,,1,0,,,,"Sin carpeta en disco (n_imagenes_actuales=0), incluida por instrucción explícita. especies.txt: 'Frutos tóxicos'. El match FUZZY a 'Ilex tolucana' (sinónimo de Ilex discolor) requiere verificación externa antes de tratarlo como confirmado; no se excluye todavía. REVISAR_GBIF: rank=VARIETY; accepted_name difiere ('Ilex discolor var. tolucana'); match_type=FUZZY Nombre del proyecto 'Ilex toluccana' (usageKey original 7315705) es sinónimo GBIF de 'Ilex discolor var. tolucana'; se usa el usageKey del nombre aceptado (5534619) para consultas futuras.",no,,no,"Solo 17 ocurrencias HUMAN_OBSERVATION con StillImage (umbral 60% de meta 150 = 90); 95 de las 112 con foto son PRESERVED_SPECIMEN (herbario, no usable). Ruta: iNaturalist o foto propia.",Ilex toluccana
Quercus magnoliifolia,2879847,Quercus magnoliifolia,SPECIES,EXACT,Encino de hoja grande,segura,,no,,2,13,,,,,no,,si,"en_v1 corregido a 'si' por agrupación de género: individualmente solo 46 ocurrencias HUMAN_OBSERVATION (umbral individual 48), insuficiente sola; pero clase_v1=Quercus_spp agrupa todas las especies de Quercus en el catálogo y el conjunto sí supera el umbral. Riesgo de grupo: segura.",Quercus_spp
Quercus resinosa,2879646,Quercus resinosa,SPECIES,EXACT,Encino roble,segura,,no,,2,50,,,,,no,,si,,Quercus_spp
Quercus castanea,2879127,Quercus castanea,SPECIES,EXACT,Encino castaño,segura,,no,,2,18,,,,,no,,si,,Quercus_spp
Quercus laeta,2879073,Quercus laeta,SPECIES,EXACT,Encino blanco,segura,,no,,2,18,,,,,no,,si,,Quercus_spp
Quercus rugosa,8386328,Quercus rugosa,SPECIES,EXACT,Encino quiebra-hacha,segura,,no,,2,16,,,,,no,,si,,Quercus_spp
Quercus viminea,2879637,Quercus viminea,SPECIES,EXACT,Encino sauce,segura,,no,,2,25,,,,,no,,si,,Quercus_spp
Quercus salicifolia,2878952,Quercus salicifolia,SPECIES,EXACT,Encino chilillo,segura,,no,,2,16,,,,,no,,si,"en_v1 corregido a 'si' por agrupación de género: individualmente solo 12 ocurrencias HUMAN_OBSERVATION (umbral individual 48), insuficiente sola; pero clase_v1=Quercus_spp agrupa todas las especies de Quercus en el catálogo y el conjunto sí supera el umbral. Riesgo de grupo: segura.",Quercus_spp
Ficus insipida,6358534,Ficus insipida,SPECIES,EXACT,Amate blanco,segura,,no,,2,49,,,,,no,,si,,Ficus insipida
Buddleja sessiliflora,3173335,Buddleja sessiliflora,SPECIES,EXACT,Tepozán,segura,,no,,2,50,,,,,no,,si,,Buddleja sessiliflora
Ipomoea arborescens,7324166,Ipomoea arborescens,SPECIES,EXACT,Cazahuate / Palo bobo,segura,,no,,2,11,,,,,no,,si,,Ipomoea arborescens
Lysiloma acapulcense,2965803,Lysiloma acapulcense,SPECIES,EXACT,Tepehuaje,segura,,no,,2,50,,,,,no,,si,,Lysiloma acapulcense
Acacia pennatula,6362443,Vachellia pennatula,SPECIES,EXACT,Huizache,segura,,no,,2,50,,,,REVISAR_GBIF: accepted_name difiere ('Vachellia pennatula') Nombre del proyecto 'Acacia pennatula' (usageKey original 2980053) es sinónimo GBIF de 'Vachellia pennatula'; se usa el usageKey del nombre aceptado (6362443) para consultas futuras.,no,,si,,Acacia pennatula
Bursera fagaroides,3190449,Bursera fagaroides,SPECIES,EXACT,Copal blanco,segura,,no,,2,50,,,,,no,,si,,Bursera_spp
Bursera bipinnata,7286788,Bursera bipinnata,SPECIES,EXACT,Copal chino,segura,,no,,2,50,,,,,no,,si,,Bursera_spp
Crataegus mexicana,3014233,Crataegus mexicana,SPECIES,EXACT,Tejocote,segura,,no,,2,29,,,,,no,,si,,Crataegus mexicana
Symphoricarpos microphyllus,2888629,Symphoricarpos microphyllus,SPECIES,EXACT,Perlas de la Virgen,toxica,frutos,no,,2,17,,,,"especies.txt: 'Frutos eméticos' (provocan vómito al ingerirse, se clasifica como toxica). script_data_rcimg.py trae 'No especificada' (placeholder, no es un dato real).",no,,si,,Symphoricarpos microphyllus
Cercocarpus macrophyllus,8103256,Cercocarpus macrophyllus,SPECIES,EXACT,Ramón,segura,,no,,2,19,,,,"script_data_rcimg.py trae 'No especificada' (placeholder, no es un dato real); se usa el valor de especies.txt.",no,,si,,Cercocarpus macrophyllus
Erythrina flabelliformis,5349516,Erythrina flabelliformis,SPECIES,EXACT,Colorín,toxica,semillas,no,,2,6,,,,Prioridad de recolección per CLAUDE.md (solo 6 imágenes).,no,,si,,Erythrina flabelliformis
Ceiba aesculifolia,5406696,Ceiba aesculifolia,SPECIES,EXACT,Pochote,segura,,no,,2,50,,,,,no,,si,,Ceiba aesculifolia
Guazuma ulmifolia,3152195,Guazuma ulmifolia,SPECIES,EXACT,Guácima,segura,,no,,2,50,,,,,no,,si,,Guazuma ulmifolia
Lantana camara,2925303,Lantana camara,SPECIES,EXACT,Cinco negritos,toxica,,no,,3,50,,,,,no,,si,,Lantana camara
Asclepias curassavica,3170241,Asclepias curassavica,SPECIES,EXACT,Venenillo,toxica,,no,,3,50,,,,,no,,si,,Asclepias curassavica
Wigandia urens,2928366,Wigandia urens,SPECIES,EXACT,Ortiga de tierra caliente,irritante,,no,,3,50,,,,,no,,si,,Wigandia urens
Solanum nigrescens,2930275,Solanum nigrescens,SPECIES,EXACT,Hierba mora,toxica,,no,,3,15,,,,Coincide entre script_data.py y script_data_rcimg.py.,no,,si,,Solanum nigrescens
Solanum rostratum,2929800,Solanum angustifolium,SPECIES,EXACT,Duraznillo,toxica,,no,,3,50,,,,"script_data.py: 'Tóxica/Espinosa' (espinoso es daño físico, no contradice la toxicidad). Se confirma el uso del usageKey de S. angustifolium (2929800) como nombre aceptado GBIF; sin embargo la literatura local y toxicológica usa 'Solanum rostratum' -- prioridad de publicación Houst. ex Mill. 1768 sobre Dunal 1813. REVISAR_GBIF: accepted_name difiere ('Solanum angustifolium') Nombre del proyecto 'Solanum rostratum' (usageKey original 2930922) es sinónimo GBIF de 'Solanum angustifolium'; se usa el usageKey del nombre aceptado (2929800) para consultas futuras.",no,,si,,Solanum rostratum
Ricinus communis,5380041,Ricinus communis,SPECIES,EXACT,Higuerilla,letal,semillas,no,,3,50,,,,,no,,si,,Ricinus communis
Jatropha curcas,3072953,Jatropha curcas,SPECIES,EXACT,Piñón mexicano,toxica,,no,,3,9,,,,"Prioridad máxima de recolección per CLAUDE.md (intoxicaciones pediátricas frecuentes en México, solo 9 imágenes).",no,,si,,Jatropha curcas
Phytolacca icosandra,3084023,Phytolacca icosandra,SPECIES,EXACT,Congueranza,toxica,,no,,3,50,,,,,no,,si,,Phytolacca icosandra
Euphorbia tanquahuete,3066016,Euphorbia tanquahuete,SPECIES,EXACT,Pegahueso,irritante,látex,no,,3,49,,,,script_data.py traía la etiqueta ambigua 'No especificada/Segura'; resuelto por decisión explícita del responsable del proyecto: irritante (látex).,no,,si,,Euphorbia tanquahuete
Plumeria rubra,3169674,Plumeria rubra,SPECIES,EXACT,Cacaloxóchitl,irritante,látex,no,,3,50,,,,script_data.py traía la etiqueta ambigua 'No especificada/Segura'; resuelto por decisión explícita del responsable del proyecto: irritante (látex).,no,,si,,Plumeria rubra
Salvia mexicana,8104661,Salvia mexicana,SPECIES,EXACT,Salvia de México,desconocida,,no,,3,50,,,,"script_data.py trae la etiqueta ambigua 'No especificada/Segura'; no se resuelve, pendiente de fuente citable.",no,,si,,Salvia_spp
Salvia lavanduloides,7308690,Salvia lavanduloides,SPECIES,EXACT,Salvia cimarrona,desconocida,,no,,3,50,,,,"script_data.py trae la etiqueta ambigua 'No especificada/Segura'; no se resuelve, pendiente de fuente citable.",no,,si,,Salvia_spp
Tagetes lucida,3088537,Tagetes lucida,SPECIES,EXACT,Pericón,segura,,no,,3,50,,,,"script_data.py: 'Medicinal/Segura' (ambos calificativos apuntan a lo mismo, no hay contradicción).",no,,si,,Tagetes lucida
Dahlia coccinea,5387098,Dahlia coccinea,SPECIES,EXACT,Dalia roja,segura,,no,,3,50,,,,,no,,si,,Dahlia coccinea
Cosmos bipinnatus,3098912,Cosmos bipinnatus,SPECIES,EXACT,Cosmos / Mirasol,segura,,no,,3,50,,,,,no,,si,,Cosmos bipinnatus
Zinnia peruviana,9193953,Zinnia peruviana,SPECIES,EXACT,Mal de ojo,segura,,no,,3,50,,,,,no,,si,,Zinnia peruviana
Montanoa tomentosa,5406080,Montanoa tomentosa,SPECIES,EXACT,Zoapatle,toxica,,no,,3,11,,,,"script_data.py solo decía 'Medicinal', sin calificativo de seguridad explícito; resuelto por decisión explícita del responsable del proyecto: toxica (uterotónico, contraindicado en embarazo). Prioridad de recolección per CLAUDE.md (solo 11 imágenes).",no,,si,,Montanoa tomentosa
Baccharis salicifolia,3129643,Baccharis salicifolia,SPECIES,EXACT,Jara,segura,,no,,3,49,,,,,no,,si,,Baccharis salicifolia
Dodonaea viscosa,5421144,Dodonaea viscosa,SPECIES,EXACT,Jarilla,segura,,no,,3,37,,,,,no,,si,,Dodonaea viscosa
Datura stramonium,2928751,Datura stramonium,SPECIES,EXACT,,toxica,toda,no,introducida,3,50,,,,"No aparece en especies.txt, script_data.py ni script_data_rcimg.py -- solo existe la carpeta en disco (sin nombre común ni etiqueta de toxicidad en ninguna fuente del proyecto). Incluida por instrucción explícita. Riesgo resuelto por decisión explícita del responsable del proyecto: toxica, alcaloides tropánicos.",no,,si,,Datura stramonium
Agave guadalajarana,2767132,Agave guadalajarana,SPECIES,EXACT,Maguey de Guadalajara,irritante,savia,si,,4,50,,,,"especies.txt dice 'Segura/Endémico'. CLAUDE.md ordena explícitamente NO dejarla como segura: 'ambas especies [de Agave] deben quedar como irritante. La savia de Agave tiene saponinas y oxalatos; marcar guadalajarana como segura es un error.' Se sigue esa instrucción del proyecto, no es una resolución propia de conflicto entre fuentes. Además: 50 imágenes exactas, CLAUDE.md sospecha posible contaminación de otros taxones del género -- pendiente de verificación.",no,,si,,Agave_spp
Agave inaequidens,2766643,Agave inaequidens,SPECIES,EXACT,Maguey bruto,irritante,savia,no,,4,50,,,,,no,,si,,Agave_spp
Mammillaria jaliscana,7279782,Mammillaria jaliscana,SPECIES,EXACT,Biznaga de Jalisco,segura,,si,,4,50,,,,CLAUDE.md la lista entre los endemismos con 50 imágenes exactas a verificar por posible contaminación del género en la consulta a GBIF.,no,,si,,Mammillaria jaliscana
Opuntia jaliscana,5626343,Opuntia jaliscana,SPECIES,EXACT,Nopal silvestre,segura,,desconocida,,4,23,,,,El epíteto 'jaliscana' sugiere endemismo pero ninguna fuente del proyecto lo confirma explícitamente; pendiente de revisión.,no,,si,,Opuntia jaliscana
Nolina parviflora,2776994,Nolina parviflora,SPECIES,EXACT,Palmilla,segura,,no,,4,16,,,,,no,,si,,Nolina parviflora
Tillandsia benthamiana,8318726,Tillandsia benthamiana,SPECIES,EXACT,Heno / Bromelia epífita,segura,,no,,4,12,,,,"CLAUDE.md sospechaba que el nombre no resuelve en GBIF (solo 12 imágenes), pero el match resultó EXACT/ACCEPTED -- la sospecha no se confirma; la escasez de imágenes tiene otra causa.",no,,no,"Solo 0 ocurrencias HUMAN_OBSERVATION con StillImage (umbral 60% de meta 80 = 48); 36 de las 36 con foto son PRESERVED_SPECIMEN (herbario, no usable). Ruta: iNaturalist o foto propia.",Tillandsia benthamiana
Tillandsia recurvata,2695588,Tillandsia recurvata,SPECIES,EXACT,Heno pequeño,segura,,no,,4,50,,,,,no,,si,,Tillandsia recurvata
Pteridium aquilinum,5275012,Pteridium aquilinum,SPECIES,EXACT,Helecho pesma,toxica,,no,,4,36,,,,especies.txt: 'Tóxico/Carcinógeno'.,no,,si,,Pteridium aquilinum
Adiantum capillus-veneris,2651816,Adiantum capillus-veneris,SPECIES,EXACT,Culantrillo,segura,,no,,4,19,,,,,no,,si,,Adiantum capillus-veneris
Selaginella lepidophylla,2688180,Selaginella lepidophylla,SPECIES,EXACT,Planta de la resurrección,segura,,no,,4,32,,,,,no,,si,,Selaginella lepidophylla
Lobelia laxiflora,5408996,Lobelia laxiflora,SPECIES,EXACT,Arete de fuego,toxica,,no,,4,50,,,,especies.txt: 'Tóxica/Irritante'; se prioriza la categoría más severa (toxica).,no,,si,,Lobelia laxiflora
Penstemon roseus,3730926,Penstemon roseus,SPECIES,EXACT,Campanita,segura,,no,,4,41,,,,,no,,si,,Penstemon roseus
Castilleja tenuiflora,3170579,Castilleja tenuiflora,SPECIES,EXACT,Hierba del cáncer,segura,,no,,4,50,,,,,no,,si,,Castilleja tenuiflora
Echeveria jaliscensis,5362052,Echeveria,GENUS,HIGHERRANK,Conchita,segura,,desconocida,,4,0,,,,"0 imágenes pese a búsqueda global previa. GBIF species/match solo resuelve al género 'Echeveria' (rank=GENUS, matchType=HIGHERRANK); el nombre a nivel especie no se encontró, tal como sospechaba CLAUDE.md. Confirmar si es sinónimo o error de nombre antes de seguir intentando descargar. REVISAR_GBIF: rank=GENUS; accepted_name difiere ('Echeveria')",si,"nombre no verificable en GBIF, 0 imágenes, pendiente de confirmación con herbario IBUG",no,"Especie excluida del proyecto (nombre no verificable en GBIF, 0 imágenes, pendiente de confirmación con herbario IBUG); no se consultó GBIF para v1.",Echeveria jaliscensis
Sedum jaliscanum,7334057,Sedum jaliscanum,SPECIES,EXACT,Siempreviva,segura,,si,,4,50,,,,CLAUDE.md la lista entre los endemismos con 50 imágenes exactas a verificar por posible contaminación del género en la consulta a GBIF.,no,,si,,Sedum jaliscanum
Passiflora exsudans,3587785,Passiflora exsudans,SPECIES,EXACT,Pasionaria silvestre,segura,,no,,4,12,,,,,no,,si,,Passiflora exsudans
Cucurbita foetidissima,2874521,Cucurbita foetidissima,SPECIES,EXACT,Calabacilla loca,toxica,,no,,4,10,,,,especies.txt: 'Muy amarga/Tóxica'. Prioridad de recolección per CLAUDE.md (solo 10 imágenes).,no,,si,,Cucurbita foetidissima
Mirabilis jalapa,3086240,Mirabilis jalapa,SPECIES,EXACT,Maravilla,toxica,semillas y raíces,no,,4,50,,,,especies.txt: 'Semillas/Raíces tóxicas'.,no,,si,,Mirabilis jalapa
Begonia jaliscana,4158520,Begonia jaliscana,SPECIES,EXACT,Begonia silvestre,segura,,desconocida,,4,10,,,,El epíteto 'jaliscana' sugiere endemismo pero ninguna fuente del proyecto lo confirma explícitamente; pendiente de revisión.,no,,no,"Solo 8 ocurrencias HUMAN_OBSERVATION con StillImage (umbral 60% de meta 80 = 48); 7 de las 15 con foto son PRESERVED_SPECIMEN (herbario, no usable). Ruta: iNaturalist o foto propia.",Begonia jaliscana
Oxalis hernandezii,7740649,Oxalis hernandezii,SPECIES,EXACT,Agritos,segura,,no,,4,19,,,,"especies.txt traía la etiqueta internamente contradictoria 'Segura/Oxalatos'; resuelto por decisión explícita del responsable del proyecto: segura. Contiene oxalatos, evitar consumo en cantidad.",no,,no,"Solo 0 ocurrencias HUMAN_OBSERVATION con StillImage (umbral 60% de meta 80 = 48); 92 de las 92 con foto son PRESERVED_SPECIMEN (herbario, no usable). Ruta: iNaturalist o foto propia.",Oxalis hernandezii
